,Date,SampleEvent,Coord_Starting_X,Coord_Starting_Y,Total_Water_Sampled_m3,Season,Site,Tidal_Period,Tidal_Height_ft,total_particles_sampleevent,Particles_per_meter_cubed,month.x,day.x,year.x,avg_value,one_flow,two_flow,three_flow,five_flow,eight_flow,thirteen_flow,twentyone_flow,one_precip,two_precip,three_precip,five_precip,eight_precip,thirteen_precip,twentyone_precip,imp_surf
1,1/25/21,CPO_2-1,-71.34538,41.72522,127.52496,Winter,CPO,flood,0.86,117,0.917467451,1,25,2021,284.1,305.14,637,988.12,1761.2,3638.44,5339,8588.3,0,0,0,0,0,1.34,1.97,31685353
2,1/25/21,HOP_2-1,-71.37972,41.621,147.24336,Winter,HOP,flood,1.53,10,0.067914777,1,25,2021,284.1,305.14,637,988.12,1761.2,3638.44,5339,8588.3,0,0,0,0,0,1.34,1.97,14427157
3,2/4/21,GIO_2-1,-71.34441,41.51905,174.54576,Winter,GIO,ebb,2.52,84,0.481249158,2,4,2021,261.68,278.88,567.94,787,1247.9,2043.28,3586,7347.98,0,0.03,4.13,4.13,4.77,8.96,10.3,29903746
4,2/4/21,HOG_2-1,-71.30507,41.63284,138.29424,Winter,HOG,ebb,3.36,128,0.925562771,2,4,2021,261.68,278.88,567.94,787,1247.9,2043.28,3586,7347.98,0,0.03,4.13,4.13,4.77,8.96,10.3,8189044
5,2/20/21,BLS_2-1,-71.37005,41.43445,142.99632,Winter,BLS,flood,1.7,14,0.097904617,2,20,2021,282.3,297.02,620.18,1000.54,1490.88,2097.6,3270.88,5285.6,3.82,4.79,4.79,5.41,5.43,14.35,18.51,5901609
6,2/20/21,GIO_2-2,-71.34364,41.51888,162.2976,Winter,GIO,ebb,2.49,54,0.33272211,2,20,2021,282.3,297.02,620.18,1000.54,1490.88,2097.6,3270.88,5285.6,3.82,4.79,4.79,5.41,5.43,14.35,18.51,29903746
7,2/20/21,HOG_2-2,-71.30478,41.63293,136.96704,Winter,HOG,ebb,2.28,20,0.146020532,2,20,2021,282.3,297.02,620.18,1000.54,1490.88,2097.6,3270.88,5285.6,3.82,4.79,4.79,5.41,5.43,14.35,18.51,8189044
8,2/20/21,WDI_2-1,-71.40522,41.51015,153.99312,Winter,WDI,flood,2.22,69,0.448071966,2,20,2021,282.3,297.02,620.18,1000.54,1490.88,2097.6,3270.88,5285.6,3.82,4.79,4.79,5.41,5.43,14.35,18.51,15850030
9,2/21/21,BLS_2-2,-71.37291,41.43491,153.12096,Winter,BLS,flood,1.24,18,0.117554122,2,21,2021,261.38,282.3,579.32,902.48,1568.74,2173,3306.46,5334.68,0,3.82,4.79,5.39,5.43,6.96,18.51,5901609
10,2/21/21,CPO_2-2,-71.34541,41.72454,147.888,Winter,CPO,ebb,2.49,9,0.060856865,2,21,2021,261.38,282.3,579.32,902.48,1568.74,2173,3306.46,5334.68,0,3.82,4.79,5.39,5.43,6.96,18.51,31685353
